G,PA,AB,H,R,1B,2B,3B,HR,TB,RBI,BB,IBB,K,Auto K,SB,CS,SH,SF,GIDP,RGO,LGO,FO,PO,LO,AVG,OBP,SLG,OPS,ISO,BABIP,SB%,HR%,SO%,BB%,GB%,FB%,GB/FB,Avg Diff,nOBP,nSLG,RE24,WPA,GB_outs,FB_outs,Season,Hitter ID,Team,is_sub_row,Last Team,WAR
16.0,43.0,37.0,11.0,4.0,7.0,2.0,2.0,0.0,17.0,5.0,6.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,5.0,3.0,3.0,0.0,0.2972972972972973,0.3953488372093023,0.4594594594594595,0.8548082966687618,0.16216216216216217,0.39285714285714285,0.0,0.0,0.20930232558139536,0.13953488372093023,0.6666666666666666,0.3333333333333333,2.0,250.6904761904762,0.3953488372093023,0.4594594594594595,-0.3360587097648449,-0.23060000000000003,12.0,6.0,S7,24,BOS,False,BOS,0.13526038727795103
1.0,2.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,1.0,1.5,0.5,1.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,142.0,0.5,1.0,-0.26845292738156157,-0.0183,0.0,0.0,S7,28,SFG,False,SFG,-0.018991048168182412
13.0,31.0,28.0,7.0,5.0,1.0,3.0,0.0,3.0,19.0,5.0,3.0,0.0,10.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0,3.0,4.0,0.0,0.25,0.3225806451612903,0.6785714285714286,1.0011520737327189,0.4285714285714286,0.26666666666666666,0.0,0.0967741935483871,0.3225806451612903,0.0967741935483871,0.36363636363636365,0.6363636363636364,0.5714285714285714,260.5625,0.3225806451612903,0.6785714285714286,1.0316805028045513,0.2131,4.0,7.0,S7,32,BAL,False,BAL,0.22490884111504822
10.0,26.0,23.0,11.0,6.0,6.0,1.0,0.0,4.0,24.0,10.0,3.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,3.0,4.0,1.0,0.0,0.4782608695652174,0.5384615384615384,1.0434782608695652,1.5819397993311037,0.5652173913043478,0.4117647058823529,1.0,0.15384615384615385,0.07692307692307693,0.11538461538461539,0.5,0.5,1.0,197.85185185185185,0.5384615384615384,1.0434782608695652,2.247693018330189,0.6553,5.0,5.0,S7,33,LAA,False,LAA,0.32687448124267754
16.0,48.0,46.0,11.0,7.0,2.0,6.0,1.0,2.0,25.0,9.0,1.0,0.0,10.0,0.0,1.0,0.0,0.0,1.0,2.0,4.0,5.0,9.0,8.0,0.0,0.2391304347826087,0.25,0.5434782608695652,0.7934782608695652,0.3043478260869565,0.2571428571428571,1.0,0.041666666666666664,0.20833333333333334,0.020833333333333332,0.3793103448275862,0.6206896551724138,0.6111111111111112,270.16326530612247,0.25,0.5434782608695652,-6.289710783809323,-0.07050000000000001,11.0,18.0,S7,34,BOS,False,BOS,-0.44046920870156236
1.0,4.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.25,0.25,0.25,0.5,0.0,0.25,0.0,0.0,0.0,0.0,0.3333333333333333,0.6666666666666666,0.5,309.0,0.25,0.25,-1.2886434472583614,-0.23360000000000003,1.0,2.0,S7,35,MIN,False,MIN,-0.11315585558588866
4.0,10.0,10.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,1.0,0.0,0.0,0.1,0.1,0.1,0.2,0.0,0.16666666666666666,0.0,0.0,0.4,0.0,0.8333333333333334,0.16666666666666666,5.0,304.2,0.1,0.1,-2.1312015214732374,-0.2479,5.0,1.0,S7,36,CIN,False,CIN,-0.17384892929745502
13.0,30.0,28.0,10.0,4.0,6.0,2.0,2.0,0.0,16.0,1.0,2.0,0.0,7.0,0.0,1.0,0.0,0.0,0.0,1.0,4.0,1.0,5.0,1.0,0.0,0.35714285714285715,0.4,0.5714285714285714,0.9714285714285714,0.21428571428571425,0.47619047619047616,1.0,0.0,0.23333333333333334,0.06666666666666667,0.5,0.5,1.0,225.90322580645162,0.4,0.5714285714285714,2.4978833920648933,-0.24090000000000003,6.0,6.0,S7,39,MIA,False,MIA,0.36760200775609553
6.0,17.0,14.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,1.0,3.0,1.0,0.0,0.07142857142857142,0.23529411764705882,0.07142857142857142,0.3067226890756303,0.0,0.1111111111111111,0.0,0.0,0.29411764705882354,0.17647058823529413,0.6,0.4,1.5,281.6470588235294,0.23529411764705882,0.07142857142857142,-3.341155751105723,-0.20729999999999998,6.0,4.0,S7,41,CIN,False,CIN,-0.2673544962657955
13.0,42.0,41.0,17.0,6.0,11.0,5.0,1.0,0.0,24.0,6.0,0.0,0.0,5.0,0.0,3.0,1.0,0.0,1.0,0.0,4.0,4.0,5.0,7.0,0.0,0.4146341463414634,0.40476190476190477,0.5853658536585366,0.9901277584204413,0.17073170731707316,0.4594594594594595,0.75,0.0,0.11904761904761904,0.0,0.38095238095238093,0.6190476190476191,0.6153846153846154,240.2826086956522,0.40476190476190477,0.5853658536585366,1.4345134585883055,0.21059999999999995,8.0,13.0,S7,48,SFG,False,SFG,0.3083904818282792
10.0,25.0,21.0,4.0,4.0,2.0,1.0,0.0,1.0,8.0,4.0,3.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,3.0,5.0,4.0,0.0,0.19047619047619047,0.28,0.38095238095238093,0.660952380952381,0.19047619047619047,0.17647058823529413,0.0,0.04,0.16,0.12,0.3333333333333333,0.6666666666666666,0.5,266.8,0.28,0.38095238095238093,-2.188185632245659,-0.20049999999999998,5.0,10.0,S7,55,CIN,False,CIN,-0.12064050609989412
15.0,41.0,38.0,12.0,5.0,6.0,2.0,1.0,3.0,25.0,5.0,3.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,5.0,1.0,0.0,0.3157894736842105,0.36585365853658536,0.6578947368421053,1.0237483953786906,0.3421052631578948,0.4090909090909091,0.0,0.07317073170731707,0.3170731707317073,0.07317073170731707,0.5384615384615384,0.46153846153846156,1.1666666666666667,250.3170731707317,0.36585365853658536,0.6578947368421053,-0.18451492262328717,0.05310000000000002,7.0,6.0,S7,59,MIL,False,MIL,0.14256052142213305
14.0,39.0,31.0,6.0,7.0,1.0,0.0,0.0,5.0,21.0,10.0,8.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,9.0,4.0,0.0,0.1935483870967742,0.358974358974359,0.6774193548387096,1.0363937138130686,0.48387096774193544,0.047619047619047616,0.0,0.1282051282051282,0.1282051282051282,0.20512820512820512,0.3157894736842105,0.6842105263157895,0.46153846153846156,229.52631578947367,0.358974358974359,0.6774193548387096,-0.3688511289365344,-0.149,6.0,13.0,S7,63,CHC,False,CHC,0.1162726562208346
14.0,37.0,32.0,7.0,6.0,4.0,3.0,0.0,0.0,10.0,2.0,5.0,0.0,10.0,0.0,1.0,2.0,0.0,0.0,1.0,2.0,4.0,7.0,2.0,0.0,0.21875,0.32432432432432434,0.3125,0.6368243243243243,0.09375,0.3181818181818182,0.3333333333333333,0.0,0.2702702702702703,0.13513513513513514,0.4375,0.5625,0.7777777777777778,261.55,0.32432432432432434,0.3125,1.3595828722014311,-0.3479999999999999,7.0,9.0,S7,65,SEA,False,SEA,0.28126181176465737
15.0,44.0,41.0,11.0,7.0,4.0,6.0,0.0,1.0,20.0,9.0,2.0,0.0,6.0,0.0,1.0,1.0,0.0,1.0,1.0,5.0,4.0,7.0,9.0,0.0,0.2682926829268293,0.29545454545454547,0.4878048780487805,0.7832594235033259,0.2195121951219512,0.2857142857142857,0.5,0.022727272727272728,0.13636363636363635,0.045454545454545456,0.37037037037037035,0.6296296296296297,0.5882352941176471,255.17777777777778,0.29545454545454547,0.4878048780487805,-1.3216448476863425,0.2063,10.0,17.0,S7,66,SEA,False,SEA,0.04062889577078814
15.0,37.0,33.0,9.0,9.0,3.0,1.0,0.0,5.0,25.0,12.0,4.0,0.0,7.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,3.0,10.0,2.0,0.0,0.2727272727272727,0.35135135135135137,0.7575757575757576,1.1089271089271089,0.48484848484848486,0.19047619047619047,0.0,0.13513513513513514,0.1891891891891892,0.10810810810810811,0.29411764705882354,0.7058823529411765,0.4166666666666667,228.02631578947367,0.35135135135135137,0.7575757575757576,3.414308536121951,0.23300000000000007,5.0,12.0,S7,68,CHC,False,CHC,0.4867343781567094
5.0,9.0,9.0,3.0,2.0,1.0,2.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,2.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.5555555555555556,0.8888888888888888,0.22222222222222227,0.3333333333333333,0.0,0.0,0.0,0.0,0.6666666666666666,0.3333333333333333,2.0,253.77777777777777,0.3333333333333333,0.5555555555555556,0.46784312128555045,-0.039,4.0,2.0,S7,71,TOR,False,TOR,0.08212841269343689
6.0,12.0,12.0,4.0,1.0,4.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.0,0.5714285714285714,0.0,0.0,0.4166666666666667,0.0,0.75,0.25,3.0,286.3076923076923,0.3333333333333333,0.3333333333333333,-0.3001328619004749,-0.04849999999999999,3.0,1.0,S7,73,COL,False,COL,0.017112181229794982
11.0,24.0,24.0,2.0,1.0,1.0,0.0,0.0,1.0,5.0,1.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,3.0,4.0,2.0,0.0,0.08333333333333333,0.08333333333333333,0.20833333333333334,0.2916666666666667,0.125,0.07142857142857142,0.0,0.041666666666666664,0.375,0.0,0.5714285714285714,0.42857142857142855,1.3333333333333333,303.2083333333333,0.08333333333333333,0.20833333333333334,-6.173988214569911,-0.6270999999999999,8.0,6.0,S7,78,2TM,False,ATL,-0.5231478866173062
6.0,12.0,12.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,0.0,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.16666666666666666,0.0,0.16666666666666666,0.0,0.0,0.5,0.0,0.4,0.6,0.6666666666666666,275.0,0.08333333333333333,0.08333333333333333,-3.0741562613358644,-0.2912,2.0,3.0,S7,78,MIL,True,MIL,-0.26029015871374395
5.0,12.0,12.0,1.0,1.0,0.0,0.0,0.0,1.0,4.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,1.0,2.0,0.0,0.08333333333333333,0.08333333333333333,0.3333333333333333,0.41666666666666663,0.25,0.0,0.0,0.08333333333333333,0.25,0.0,0.6666666666666666,0.3333333333333333,2.0,331.4166666666667,0.08333333333333333,0.3333333333333333,-3.0998319532340464,-0.33590000000000003,6.0,3.0,S7,78,ATL,True,ATL,-0.26285772790356216
14.0,39.0,33.0,15.0,7.0,7.0,5.0,0.0,3.0,29.0,6.0,6.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,6.0,2.0,0.0,0.45454545454545453,0.5384615384615384,0.8787878787878788,1.4172494172494172,0.42424242424242425,0.5217391304347826,0.0,0.07692307692307693,0.1794871794871795,0.15384615384615385,0.2727272727272727,0.7272727272727273,0.375,181.28947368421052,0.5384615384615384,0.8787878787878788,7.5701581601141745,0.4808999999999999,3.0,8.0,S7,79,STL,False,STL,0.9101735851259054
16.0,44.0,41.0,14.0,10.0,2.0,7.0,0.0,5.0,36.0,14.0,3.0,1.0,11.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,4.0,7.0,3.0,0.0,0.34146341463414637,0.38636363636363635,0.8780487804878049,1.2644124168514412,0.5365853658536586,0.36,0.0,0.11363636363636363,0.25,0.06818181818181818,0.4117647058823529,0.5882352941176471,0.7,221.4418604651163,0.38636363636363635,0.8780487804878049,2.7584346822197747,0.6569,7.0,10.0,S7,80,COL,False,COL,0.44863684876139986
8.0,18.0,18.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,3.0,6.0,2.0,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.2222222222222222,0.0,0.125,0.0,0.0,0.1111111111111111,0.0,0.5,0.5,1.0,305.6111111111111,0.1111111111111111,0.1111111111111111,-4.605206897892112,-0.5527,8.0,8.0,S7,81,COL,False,COL,-0.3898324886594475
15.0,48.0,41.0,9.0,8.0,2.0,1.0,1.0,5.0,27.0,10.0,5.0,0.0,6.0,0.0,0.0,0.0,0.0,2.0,3.0,5.0,9.0,9.0,5.0,0.0,0.21951219512195122,0.2916666666666667,0.6585365853658537,0.9502032520325203,0.4390243902439025,0.125,0.0,0.10416666666666667,0.125,0.10416666666666667,0.5151515151515151,0.48484848484848486,1.0625,263.6666666666667,0.2916666666666667,0.6585365853658537,-2.6469401018409053,-0.13569999999999993,17.0,16.0,S7,82,COL,False,COL,-0.07619214050472065
15.0,40.0,37.0,7.0,4.0,3.0,2.0,0.0,2.0,15.0,3.0,3.0,0.0,6.0,0.0,1.0,0.0,0.0,0.0,2.0,8.0,3.0,12.0,1.0,0.0,0.1891891891891892,0.25,0.40540540540540543,0.6554054054054055,0.21621621621621623,0.1724137931034483,1.0,0.05,0.15,0.075,0.5,0.5,1.0,249.02439024390245,0.25,0.40540540540540543,-4.412022442111133,-0.2628,13.0,13.0,S7,84,COL,False,COL,-0.2841173528116384
12.0,30.0,23.0,6.0,5.0,1.0,0.0,2.0,3.0,19.0,6.0,7.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,6.0,6.0,2.0,0.0,0.2608695652173913,0.43333333333333335,0.8260869565217391,1.2594202898550724,0.5652173913043479,0.16666666666666666,0.0,0.1,0.06666666666666667,0.23333333333333334,0.5294117647058824,0.47058823529411764,1.125,224.06666666666666,0.43333333333333335,0.8260869565217391,0.7943874624008382,0.05300000000000008,9.0,8.0,S7,89,COL,False,COL,0.19725241478969
11.0,26.0,25.0,5.0,3.0,1.0,2.0,1.0,1.0,12.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,4.0,7.0,5.0,0.0,0.2,0.19230769230769232,0.48,0.6723076923076923,0.27999999999999997,0.17391304347826086,0.0,0.038461538461538464,0.07692307692307693,0.0,0.38095238095238093,0.6190476190476191,0.6153846153846154,291.2307692307692,0.19230769230769232,0.48,-2.4302441862066932,-0.05529999999999999,8.0,13.0,S7,90,2TM,False,CWS,-0.14091923921101063
7.0,15.0,14.0,1.0,1.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.0,6.0,3.0,0.0,0.07142857142857142,0.06666666666666667,0.14285714285714285,0.2095238095238095,0.07142857142857142,0.07142857142857142,0.0,0.0,0.06666666666666667,0.0,0.3333333333333333,0.6666666666666666,0.5,313.93333333333334,0.06666666666666667,0.14285714285714285,-2.9903379659465363,-0.2633,5.0,10.0,S7,90,MTL,True,MTL,-0.24012696231985053
4.0,11.0,11.0,4.0,2.0,1.0,1.0,1.0,1.0,10.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,2.0,0.0,0.36363636363636365,0.36363636363636365,0.9090909090909091,1.2727272727272727,0.5454545454545454,0.3333333333333333,0.0,0.09090909090909091,0.09090909090909091,0.0,0.5,0.5,1.0,260.27272727272725,0.36363636363636365,0.9090909090909091,0.5600937797398435,0.20800000000000002,3.0,3.0,S7,90,CWS,True,CWS,0.09920772310883995
14.0,39.0,33.0,7.0,9.0,1.0,2.0,0.0,4.0,21.0,15.0,6.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,8.0,5.0,0.0,0.21212121212121213,0.3333333333333333,0.6363636363636364,0.9696969696969697,0.4242424242424242,0.15,0.0,0.10256410256410256,0.23076923076923078,0.15384615384615385,0.23529411764705882,0.7647058823529411,0.3076923076923077,241.71052631578948,0.3333333333333333,0.6363636363636364,0.8044596120643108,0.9967000000000001,4.0,13.0,S7,91,CHC,False,CHC,0.23360373032091913
13.0,31.0,31.0,5.0,3.0,0.0,3.0,1.0,1.0,13.0,5.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,2.0,6.0,4.0,8.0,5.0,0.0,0.16129032258064516,0.16129032258064516,0.41935483870967744,0.5806451612903226,0.25806451612903225,0.14814814814814814,0.0,0.03225806451612903,0.0967741935483871,0.0,0.48,0.52,0.9230769230769231,277.8,0.16129032258064516,0.41935483870967744,-5.877151465480762,-0.2518,12.0,13.0,S7,93,SEA,False,SEA,-0.4659743557134831
13.0,34.0,28.0,9.0,6.0,2.0,3.0,0.0,4.0,24.0,9.0,6.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,4.0,6.0,2.0,0.0,0.32142857142857145,0.4411764705882353,0.8571428571428571,1.2983193277310923,0.5357142857142856,0.22727272727272727,0.0,0.11764705882352941,0.058823529411764705,0.17647058823529413,0.5294117647058824,0.47058823529411764,1.125,245.14705882352942,0.4411764705882353,0.8571428571428571,1.545309303528113,0.19569999999999996,9.0,8.0,S7,99,DET,False,DET,0.28805308804236496
13.0,39.0,36.0,3.0,1.0,0.0,3.0,0.0,0.0,6.0,3.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,4.0,5.0,14.0,8.0,3.0,0.0,0.08333333333333333,0.1282051282051282,0.16666666666666666,0.2948717948717948,0.08333333333333333,0.09090909090909091,0.0,0.0,0.10256410256410256,0.05128205128205128,0.6571428571428571,0.34285714285714286,1.9166666666666667,326.15384615384613,0.1282051282051282,0.16666666666666666,-11.315427930113138,-0.867,23.0,12.0,S7,100,DET,False,DET,-0.9783850238968258
13.0,34.0,32.0,7.0,3.0,5.0,2.0,0.0,0.0,9.0,1.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,1.0,7.0,6.0,6.0,3.0,0.0,0.21875,0.23529411764705882,0.28125,0.5165441176470589,0.0625,0.2413793103448276,0.0,0.0,0.11764705882352941,0.029411764705882353,0.5833333333333334,0.4166666666666667,1.4,299.1470588235294,0.23529411764705882,0.28125,-3.361736954169102,-0.6862,14.0,10.0,S7,104,DET,False,DET,-0.2026515377273565
15.0,38.0,35.0,11.0,7.0,7.0,2.0,0.0,2.0,19.0,9.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,8.0,7.0,3.0,0.0,0.3142857142857143,0.34210526315789475,0.5428571428571428,0.8849624060150376,0.22857142857142854,0.2903225806451613,0.0,0.05263157894736842,0.07894736842105263,0.05263157894736842,0.5217391304347826,0.4782608695652174,1.0909090909090908,259.2368421052632,0.34210526315789475,0.5428571428571428,-0.37475816802034595,0.6335999999999999,12.0,11.0,S7,106,DET,False,DET,0.11175483002746656
11.0,28.0,27.0,7.0,1.0,6.0,0.0,0.0,1.0,10.0,3.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,9.0,3.0,0.0,0.25925925925925924,0.2857142857142857,0.37037037037037035,0.656084656084656,0.1111111111111111,0.2608695652173913,0.0,0.03571428571428571,0.10714285714285714,0.03571428571428571,0.3333333333333333,0.6666666666666666,0.5,256.82142857142856,0.2857142857142857,0.37037037037037035,-4.122914432836473,-0.16379999999999995,6.0,12.0,S7,108,HOU,False,HOU,-0.3023320193040149
10.0,27.0,25.0,7.0,3.0,4.0,1.0,0.0,2.0,14.0,4.0,2.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,3.0,3.0,0.0,0.28,0.3333333333333333,0.56,0.8933333333333333,0.28,0.29411764705882354,0.0,0.07407407407407407,0.2222222222222222,0.07407407407407407,0.5,0.5,1.0,237.62962962962962,0.3333333333333333,0.56,-0.8034198315934208,-0.14359999999999998,6.0,6.0,S7,113,HOU,False,HOU,0.025690318535303493
14.0,37.0,36.0,8.0,4.0,2.0,4.0,0.0,2.0,18.0,4.0,1.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,7.0,2.0,1.0,0.0,0.2222222222222222,0.24324324324324326,0.5,0.7432432432432432,0.2777777777777778,0.2857142857142857,0.0,0.05405405405405406,0.35135135135135137,0.02702702702702703,0.8,0.2,4.0,279.2162162162162,0.24324324324324326,0.5,-2.9711858684962293,-0.49539999999999995,12.0,3.0,S7,114,HOU,False,HOU,-0.15181506230510866
1.0,2.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5,0.5,1.5,2.0,1.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,240.0,0.5,1.5,1.6039437600074928,0.049600000000000005,1.0,0.0,S7,116,TBR,False,TBR,0.16824862057072304
3.0,8.0,6.0,3.0,1.0,3.0,0.0,0.0,0.0,3.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.5,0.625,0.5,1.125,0.0,0.5,0.0,0.0,0.0,0.25,1.0,0.0,0.0,236.625,0.625,0.5,-0.33490891163998215,0.2823,4.0,0.0,S7,117,HOU,False,HOU,-0.002073912884103235
